[NM_025077, 4]
[NM_007170, 6]
[NR_033296, 1]
[NR_033297, 1]
[NR_033298, 1]
[NM_015506, 20]
[NM_001202431, 378]
[NM_002574, 381]
[NM_181696, 381]
[NM_181697, 380]
[NM_006066, 57]
[NM_153326, 56]
[NM_001202413, 55]
[NM_001202414, 56]
[NM_002482, 22]
[NM_152298, 21]
[NM_001195193, 20]
[NM_001114938, 1]
[NM_001190182, 1]
[NM_021639, 115]
[NR_026768, 9]
[NM_016486, 20]
[NM_005897, 19]
[NM_001145349, 8]
[NM_015112, 24]
[NM_001114172, 76]
[NM_001303427, 75]
[NM_001303428, 76]
[NM_001303429, 71]
[NM_003629, 77]
[NM_005727, 242]
[NM_001243766, 32]
[NM_001290129, 27]
[NM_001290130, 27]
[NM_017739, 48]
[NM_001013615, 3]
[NM_001142548, 1]
[NM_003579, 1]
[NM_006369, 34]
[NM_001297565, 20]
[NM_001297566, 17]
[NM_006004, 17]
[NM_199044, 31]
[NR_045789, 31]
[NR_045790, 31]
[NR_045791, 29]
[NM_001256127, 30]
[NM_001256128, 30]
[NM_001441, 9]
[NM_147192, 2]
[NM_172225, 2]
[NM_001135553, 12]
[NM_003684, 13]
[NM_198973, 12]
[NR_024174, 12]
[NR_024176, 12]
[NM_145279, 21]
[NM_201403, 21]
[NM_001042546, 62]
[NM_001243728, 63]
[NM_001256418, 63]
[NM_022745, 65]
[NM_014774, 231]
[NM_000779, 16]
[NM_001099772, 16]
[NM_000778, 69]
[NM_178033, 4]
[NR_047498, 1]
[NM_005764, 351]
[NM_001287347, 11]
[NM_001290403, 11]
[NM_001290404, 11]
[NM_001290405, 11]
[NM_001290406, 11]
[NM_003189, 11]
[NM_001048166, 4]
[NM_001282936, 4]
[NM_001282937, 4]
[NM_001282938, 4]
[NM_001282939, 4]
[NM_003035, 4]
[NM_016308, 220]
[NR_046394, 218]
[NM_001136140, 216]
[NM_004474, 1]
